Point,X,Y,Z
206_Z4,4351735.04,1554941.138,4382959.113
212_Z4,4349072.021,1554963.981,4385497.559
280_Z4,4345092.564,1554215.942,4389636.801
291_Z4,4342574.811,1556880.03,4390748.442
435_Z4,4346498.418,1563487.933,4385046.659
484_Z4,4345064.221,1561092.021,4387258.868
586_Z4,4347061.779,1553624.3,4387837.757
5_Z4,4349756.982,1559537.145,4383665.999
69_Z4,4348058.996,1551495.435,4387567.446
